PelletInjections_AP,Discharge,Injection LIne,Mass (particles),Vp (m/s),T at plasma edge (s),Tthomson (s),TS (s) after inj,Comments,<Ne> [10^19 m-3] just before PI,Ip(kA) just before PI,Configuration,Injection Line,Mas [Particles],Velocity (m/s),Time at Plasma Edge (s),<Ne> [10^19 m-3] just before PI,Ip(kA) just before PI,Injection Line,Pellet particles ,Vp (m/s),Time at plasma edge (s),<Ne> [10^19 m-3] just before PI,Ip(kA) just before PI,AU,AV,AW,AX
37465,3,2.9040e+19,1101.782,1.055127,1.080000,0.024873,Yes,2.2000,-1.7000,100_44_64,,,,,,,,,,,,,,,,
37466,3,2.4763e+19,1099.560,1.055120,1.090000,0.034880,Yes,2.2700,-1.9600,100_44_64,,,,,,,,,,,,,,,,
37467,3,2.5814e+19,1122.960,1.055071,1.080000,0.024929,Yes,2.6800,-1.8900,100_44_64,,,,,,,,,,,,,,,,
37468,2,6.7795e+18,988.1868,1.055475,1.060000,0.0045252,No,2.2500,-1.5000,100_44_64,,,,,,,,,,,,,,,,
37486,2,1.1405e+19,998.4406,1.055355,1.055400,4.4703e-05,Yes,2.1500,-0.080000,100_44_64,,,,,,,,,,,,,,,,
37487,2,1.1035e+19,1129.421,1.054920,1.055700,0.00078011,Sligt Vaporzton,2.0100,0.13000,100_44_64,,,,,,,,,,,,,,,,
37488,2,1.0824e+19,1138.329,1.054946,1.055900,0.00095403,No,1.9200,0.0080000,100_44_64,,,,,,,,,,,,,,,,
37489,2,1.0190e+19,988.1868,1.055340,1.054400,-0.00093985,Yes,1.9100,-3.0000,100_44_64,,,,,,,,,,,,,,,,
37490,2,7.0224e+18,911.2972,1.055708,1.056100,0.00039220,Yes,1.8000,-3.4000,100_44_64,,,,,,,,,,,,,,,,
37491,2,1.0116e+19,1001.701,1.055412,1.056400,0.00098765,Slight Vaprzton,2.5300,-1.8000,100_44_64,,,,,,,,,,,,,,,,
37492,2,5.3856e+18,905.5796,1.055721,1.056400,0.00067914,Strange Pellet,3.1400,-2.0700,100_44_64,,,,,,,,,,,,,,,,
37493,2,5.5968e+18,1163.151,1.054780,1.056400,0.0016204,No,2.3200,-1.8000,100_44_64,,,,,,,,,,,,,,,,
37494,2,9.4512e+18,1013.912,1.055283,1.056400,0.0011165,Yes,1.5500,-3.3200,100_44_64,,,,,,,,,,,,,,,,
37495,2,7.4131e+18,1239.539,1.054569,1.056700,0.0021306,Double Vaprzton,1.7400,-1.8500,100_44_64,,,,,,,,,,,,,,,,
37496,2,7.2336e+18,1028.145,1.055261,1.057000,0.0017390,Double Vaprzton,1.7200,-2.8700,100_44_64,,,,,,,,,,,,,,,,
37497,2,1.5840e+19,1172.601,1.054765,1.058000,0.0032353,Yes,1.7000,-4.7500,100_44_64,,,,,,,,,,,,,,,,
